date,variety_id,variety_name,month,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,tech1,tech2,tech3,tech4,tech5,tech6,tech7,tech8,tech9,tech10,tech11,tech12,tech13,tech14,tech15,tech16,tech17,tech18,tech19,tech20,tech21,tech22,tech23,tech24
2026-03-23,0,NVDA,3,0.2240,0.5980,0.4200,0.5000,0.8500,0.7500,0.3200,0.6500,0.5800,0.6200,0.4200,0.3275,0.6500,0.5500,0.1380,0.1938,0.4183,0.5000,0.1745,0.8255,0.1126,0.4439,0.6120,0.5677,0.3042,0.2772,0.0519,0.1288,0.2942,0.1523,0.3386,0.1514,0.8486,0.1737,0.8263,0.4635,0.5249,0.5000
2026-03-23,1,AAPL,3,0.2380,0.5720,0.4200,0.5200,0.7800,0.6800,0.4200,0.5500,0.5800,0.5800,0.4410,0.3544,0.6800,0.5000,0.1828,0.2535,0.5959,0.5000,0.2510,0.7490,0.1202,0.3209,0.4100,0.5562,0.4737,0.3085,0.1266,0.0000,0.4458,0.2084,0.1252,0.1823,0.8177,0.2215,0.7785,0.3030,0.9571,0.5000
2026-03-23,2,AMZN,3,0.2380,0.5720,0.4200,0.5200,0.7800,0.6500,0.4800,0.5800,0.5800,0.5800,0.4410,0.3736,0.5800,0.5000,0.4435,0.2037,0.2131,0.0000,0.4278,0.5722,0.0629,0.5154,0.5154,0.5919,0.4623,0.4032,0.6964,0.0976,0.3414,0.1707,0.1081,0.4258,0.5742,0.2671,0.7329,0.3927,0.4256,0.5000
2026-03-23,3,COIN,3,0.2520,0.4940,0.4200,0.5200,0.6500,0.5500,0.4200,0.5500,0.5800,0.5800,0.5040,0.5039,0.4800,0.5500,0.8412,0.7093,0.0029,0.0000,0.6363,0.3637,0.2447,0.6065,1.0000,0.5629,0.4340,0.5259,0.9999,0.2185,0.3066,0.1287,0.2034,0.7882,0.2118,0.4952,0.5048,0.3807,0.7441,0.5000
2026-03-23,4,CRCL,3,0.2800,0.5200,0.4200,0.4800,0.4200,0.3500,0.5000,0.4000,0.5800,0.3800,0.4200,0.7490,0.4000,0.4200,0.9998,1.0000,0.7348,0.5000,0.7449,0.2551,0.6868,0.7295,1.0000,0.5194,0.5321,0.9647,1.0000,0.0993,0.3209,0.0718,0.7492,0.8703,0.1297,0.8846,0.1154,0.8325,0.6822,0.5000
2026-03-23,5,GME,3,0.2800,0.5200,0.4200,0.4800,0.2500,0.2800,0.3500,0.2500,0.5800,0.4000,0.4200,0.4216,0.3000,0.4200,0.1532,0.3545,0.4418,1.0000,0.1260,0.8740,0.0915,0.4116,0.5980,0.5808,0.4465,0.1438,0.2884,0.1187,0.1721,0.2670,0.0000,0.2538,0.7462,0.4466,0.5534,0.2617,0.6253,0.5000
2026-03-23,6,GOOGL,3,0.2380,0.5720,0.4200,0.5200,0.7500,0.6800,0.4500,0.5800,0.5800,0.5500,0.4410,0.4380,0.5500,0.5000,0.3519,0.1909,0.9614,0.5000,0.2585,0.7415,0.0506,0.4843,0.4177,0.5141,0.4430,0.4132,0.2620,0.0805,0.3388,0.1478,0.1089,0.4126,0.5874,0.1460,0.8540,0.4198,0.3650,0.5000
2026-03-23,7,HOOD,3,0.2520,0.4940,0.4200,0.5200,0.6000,0.5200,0.4500,0.5200,0.5800,0.5500,0.5040,0.2150,0.4500,0.5200,0.0638,0.0067,0.0014,0.0000,0.1351,0.8649,0.1472,0.4437,1.0000,0.5893,0.3211,0.1033,0.5857,0.1285,0.2500,0.1809,0.0997,0.2106,0.7894,0.0633,0.9367,0.3134,0.5120,0.5000
2026-03-23,8,LMT,3,0.2660,0.6240,0.4410,0.5000,0.6800,0.6000,0.5000,0.5200,0.5800,0.5200,0.4200,0.3818,0.5200,0.5500,0.0688,0.3987,0.9894,1.0000,0.0000,1.0000,0.0908,0.2514,0.5220,0.4292,0.2896,0.1415,0.1017,0.0000,0.6372,0.2152,0.3184,0.0691,0.9309,0.5514,0.4486,0.4306,0.5220,0.5000
2026-03-23,9,MARA,3,0.2520,0.4940,0.4200,0.5200,0.4200,0.3800,0.4800,0.5200,0.5800,0.5500,0.5040,0.4459,0.4000,0.5000,0.6494,0.3997,0.0007,0.0000,0.5681,0.4319,0.1809,0.5233,1.0000,0.7008,0.3333,0.6730,0.9898,0.2137,0.2025,0.1585,0.2897,0.5410,0.4590,0.4582,0.5418,0.3438,0.6892,0.5000
