date,variety_id,variety_name,month,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,tech1,tech2,tech3,tech4,tech5,tech6,tech7,tech8,tech9,tech10,tech11,tech12,tech13,tech14,tech15,tech16,tech17,tech18,tech19,tech20,tech21,tech22,tech23,tech24
2026-06-26,0,NVDA,6,0.2240,0.5980,0.4200,0.5000,0.8500,0.7500,0.3200,0.6500,0.5800,0.6200,0.4200,0.2868,0.6500,0.5500,0.0421,0.1148,0.6387,0.5000,0.0554,0.9446,0.1406,0.3267,0.7591,0.4348,0.2951,0.3581,0.0608,0.2426,0.3564,0.1491,0.2689,0.0905,0.9095,0.0818,0.9182,0.5814,0.5357,0.5000
2026-06-26,1,AAPL,6,0.2380,0.5720,0.4200,0.5200,0.7800,0.6800,0.4200,0.5500,0.5800,0.5800,0.4410,0.3048,0.6800,0.5000,0.0163,0.1625,0.6155,1.0000,0.0000,1.0000,0.1286,0.2290,0.6508,0.2731,0.1969,0.1964,0.0176,0.7580,0.5678,0.2318,0.3217,0.0321,0.9679,0.2938,0.7062,0.9151,0.5596,0.5000
2026-06-26,2,AMZN,6,0.2380,0.5720,0.4200,0.5200,0.7800,0.6500,0.4800,0.5800,0.5800,0.5800,0.4410,0.2420,0.5800,0.5000,0.0203,0.0310,0.3782,0.5000,0.1000,0.9000,0.1938,0.2955,0.7451,0.3785,0.2925,0.2397,0.0031,0.3026,0.5727,0.3792,0.3357,0.0297,0.9703,0.0275,0.9725,0.8352,0.4070,0.5000
2026-06-26,3,COIN,6,0.2520,0.4940,0.4200,0.5200,0.6500,0.5500,0.4200,0.5500,0.5800,0.5800,0.5040,0.1063,0.4800,0.5500,0.0014,0.0012,0.0004,0.0000,0.0170,0.9830,0.2724,0.3593,1.0000,0.3081,0.0620,0.1348,0.0018,0.1369,0.3418,0.1682,0.2044,0.0207,0.9793,0.0129,0.9871,0.4928,0.3492,0.5000
2026-06-26,4,CRCL,6,0.2800,0.5200,0.4200,0.4800,0.4200,0.3500,0.5000,0.4000,0.5800,0.3800,0.4200,0.1799,0.4000,0.4200,0.0001,0.0001,0.0024,0.5000,0.1474,0.8526,0.5541,0.2660,1.0000,0.3801,0.0510,0.0390,0.0000,0.2305,0.2418,0.1201,0.1199,0.0277,0.9723,0.0179,0.9821,0.3260,0.3917,0.5000
2026-06-26,5,GME,6,0.2800,0.5200,0.4200,0.4800,0.2500,0.2800,0.3500,0.2500,0.5800,0.4000,0.4200,0.1949,0.3000,0.4200,0.1824,0.0756,0.1404,0.0000,0.1496,0.8504,0.0856,0.3114,0.5616,0.4205,0.3858,0.1719,0.2532,0.3195,0.2428,0.1416,0.0584,0.0430,0.9570,0.0200,0.9800,0.2771,0.7524,0.5000
2026-06-26,6,GOOGL,6,0.2380,0.5720,0.4200,0.5200,0.7500,0.6800,0.4500,0.5800,0.5800,0.5500,0.4410,0.3003,0.5500,0.5000,0.0626,0.1126,0.8767,0.5000,0.0783,0.9217,0.1283,0.3048,0.7041,0.4817,0.2490,0.2914,0.0172,0.2444,0.5535,0.2280,0.3758,0.1410,0.8590,0.1675,0.8325,0.3792,0.5895,0.5000
2026-06-26,7,HOOD,6,0.2520,0.4940,0.4200,0.5200,0.6000,0.5200,0.4500,0.5200,0.5800,0.5500,0.5040,0.5462,0.4500,0.5200,0.5624,0.9522,0.1426,0.5000,0.5149,0.4851,0.3371,0.5498,1.0000,0.3515,0.0971,0.8868,0.9996,0.1361,0.1422,0.2725,0.4844,0.5117,0.4883,0.5530,0.4470,0.8891,0.4814,0.5000
2026-06-26,8,LMT,6,0.2660,0.6240,0.4410,0.5000,0.6800,0.6000,0.5000,0.5200,0.5800,0.5200,0.4200,0.2650,0.5200,0.5500,0.1821,0.2349,0.2565,0.0000,0.2337,0.7663,0.1128,0.4529,0.5931,0.6072,0.2639,0.2784,0.1819,0.2849,0.5703,0.3957,0.2467,0.2457,0.7543,0.1232,0.8768,0.9239,0.5369,0.5000
2026-06-26,9,MARA,6,0.2520,0.4940,0.4200,0.5200,0.4200,0.3800,0.4800,0.5200,0.5800,0.5500,0.5040,0.6341,0.4000,0.5000,0.4042,0.8895,0.8978,1.0000,0.4577,0.5423,0.1836,0.5000,1.0000,0.4658,0.4856,0.9239,0.2499,0.1863,0.4047,0.2843,0.2134,0.4444,0.5556,0.5965,0.4035,0.5927,0.3601,0.5000
