date,variety_id,variety_name,month,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,tech1,tech2,tech3,tech4,tech5,tech6,tech7,tech8,tech9,tech10,tech11,tech12,tech13,tech14,tech15,tech16,tech17,tech18,tech19,tech20,tech21,tech22,tech23,tech24
2026-05-20,0,NVDA,5,0.2240,0.5980,0.4200,0.5000,0.8500,0.7500,0.3200,0.6500,0.5800,0.6200,0.4200,0.8173,0.6500,0.5500,0.9137,0.9865,0.9811,1.0000,0.7336,0.2664,0.2020,0.6980,0.7236,0.5517,0.4479,0.8678,0.9740,0.4034,0.2875,0.2526,0.2773,0.6873,0.3127,0.8192,0.1808,0.6689,0.5220,0.5000
2026-05-20,1,AAPL,5,0.2380,0.5720,0.4200,0.5200,0.7800,0.6800,0.4200,0.5500,0.5800,0.5800,0.4410,0.8661,0.6800,0.5000,0.9474,0.9778,0.9624,1.0000,0.8456,0.1544,0.1673,0.8481,0.4275,0.5438,0.5563,0.7868,0.9773,0.2025,0.1799,0.1857,0.3173,0.9752,0.0248,0.9836,0.0164,0.3704,0.4485,0.5000
2026-05-20,2,AMZN,5,0.2380,0.5720,0.4200,0.5200,0.7800,0.6500,0.4800,0.5800,0.5800,0.5800,0.4410,0.6408,0.5800,0.5000,0.4393,0.9598,0.9543,1.0000,0.4364,0.5636,0.0768,0.4994,0.4984,0.5866,0.4063,0.2876,0.7896,0.1830,0.2387,0.0894,0.2428,0.4684,0.5316,0.8294,0.1706,0.3351,0.4817,0.5000
2026-05-20,3,COIN,5,0.2520,0.4940,0.4200,0.5200,0.6500,0.5500,0.4200,0.5500,0.5800,0.5800,0.5040,0.3491,0.4800,0.5500,0.1724,0.4979,0.0079,0.5000,0.3068,0.6932,0.1624,0.5171,1.0000,0.4555,0.2608,0.3010,0.0733,0.2471,0.2679,0.3920,0.2083,0.3056,0.6944,0.5139,0.4861,0.4817,0.3680,0.5000
2026-05-20,4,CRCL,5,0.2800,0.5200,0.4200,0.4800,0.4200,0.3500,0.5000,0.4000,0.5800,0.3800,0.4200,0.6337,0.4000,0.4200,0.6136,0.7613,0.8031,1.0000,0.5218,0.4782,0.4246,0.6082,1.0000,0.5212,0.0861,0.1101,0.9194,0.0774,0.0122,0.5393,0.4060,0.4335,0.5665,0.4908,0.5092,0.6389,0.4725,0.5000
2026-05-20,5,GME,5,0.2800,0.5200,0.4200,0.4800,0.2500,0.2800,0.3500,0.2500,0.5800,0.4000,0.4200,0.4032,0.3000,0.4200,0.0718,0.2033,0.3584,1.0000,0.2895,0.7105,0.2431,0.3885,1.0000,0.5807,0.6049,0.0690,0.0142,0.4636,0.0101,0.0636,0.4706,0.2070,0.7930,0.2070,0.7930,0.8117,0.5713,0.5000
2026-05-20,6,GOOGL,5,0.2380,0.5720,0.4200,0.5200,0.7500,0.6800,0.4500,0.5800,0.5800,0.5500,0.4410,0.7099,0.5500,0.5000,0.7355,0.9892,0.9984,1.0000,0.5938,0.4062,0.2181,0.5310,0.5044,0.5129,0.3360,0.3604,0.9940,0.1514,0.2835,0.1718,0.2979,0.7309,0.2691,0.8557,0.1443,0.6085,0.8592,0.5000
2026-05-20,7,HOOD,5,0.2520,0.4940,0.4200,0.5200,0.6000,0.5200,0.4500,0.5200,0.5800,0.5500,0.5040,0.3719,0.4500,0.5200,0.1987,0.4455,0.0039,0.5000,0.3506,0.6494,0.1867,0.5485,1.0000,0.5855,0.4359,0.2611,0.0066,0.1692,0.2868,0.0676,0.1474,0.3298,0.6702,0.4108,0.5892,0.4687,0.4584,0.5000
2026-05-20,8,LMT,5,0.2660,0.6240,0.4410,0.5000,0.6800,0.6000,0.5000,0.5200,0.5800,0.5200,0.4200,0.4935,0.5200,0.5500,0.6356,0.0537,0.4653,0.5000,0.7274,0.2726,0.0489,0.5324,0.4081,0.4694,0.5255,0.5999,0.1121,0.2100,0.1727,0.0788,0.3865,0.5787,0.4213,0.1387,0.8613,0.4116,0.3733,0.5000
2026-05-20,9,MARA,5,0.2520,0.4940,0.4200,0.5200,0.4200,0.3800,0.4800,0.5200,0.5800,0.5500,0.5040,0.7142,0.4000,0.5000,0.9761,0.9994,0.6616,0.5000,0.7999,0.2001,0.2475,0.5901,1.0000,0.7137,0.6519,0.5573,0.9796,0.4791,0.2376,0.2250,0.2141,0.8159,0.1841,0.8947,0.1053,0.5313,0.3521,0.5000
