date,variety_id,variety_name,month,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,tech1,tech2,tech3,tech4,tech5,tech6,tech7,tech8,tech9,tech10,tech11,tech12,tech13,tech14,tech15,tech16,tech17,tech18,tech19,tech20,tech21,tech22,tech23,tech24
2026-06-29,0,NVDA,6,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.0528,0.1064,0.6148,0.5000,0.1468,0.8532,0.1635,0.3750,0.6975,0.5505,0.2123,0.2235,0.0664,0.1597,0.2585,0.2032,0.2395,0.1225,0.8775,0.1113,0.8887,0.5502,0.5572,0.3547
2026-06-29,1,AAPL,6,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.0736,0.2626,0.7150,1.0000,0.1189,0.8811,0.1329,0.3535,0.6153,0.4713,0.2634,0.3087,0.0323,0.0000,0.7871,0.4925,0.4294,0.1830,0.8170,0.3217,0.6783,1.0000,0.5565,0.3367
2026-06-29,2,AMZN,6,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.3807,0.1357,0.6523,0.5000,0.4300,0.5700,0.1390,0.4637,0.7527,0.6253,0.6528,0.5416,0.0190,0.0000,0.7501,0.6407,0.5374,0.3552,0.6448,0.2752,0.7248,0.9026,0.4368,0.4489
2026-06-29,3,COIN,6,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.0584,0.0070,0.0009,0.0000,0.2564,0.7436,0.2283,0.4189,1.0000,0.5691,0.1679,0.2189,0.0010,0.0762,0.2606,0.2170,0.2020,0.2630,0.7370,0.1499,0.8501,0.4839,0.3543,0.4553
2026-06-29,4,CRCL,6,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.0255,0.0011,0.0109,0.5000,0.3283,0.6717,0.4245,0.4200,1.0000,0.6271,0.2693,0.3535,0.0000,0.0350,0.1984,0.1668,0.0828,0.2040,0.7960,0.1183,0.8817,0.3522,0.4017,0.5000
2026-06-29,5,GME,6,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.6781,0.2666,0.2867,0.0000,0.6770,0.3230,0.0842,0.4665,0.5133,0.5495,0.6989,0.5741,0.8029,0.0493,0.0714,0.1160,0.0595,0.4086,0.5914,0.1903,0.8097,0.3345,0.8039,0.2974
2026-06-29,6,GOOGL,6,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.3093,0.2168,0.9255,0.5000,0.3621,0.6379,0.1165,0.4440,0.7541,0.6838,0.5565,0.3967,0.0804,0.0000,0.5256,0.3577,0.4916,0.4872,0.5128,0.3000,0.7000,0.7159,0.6228,0.4475
2026-06-29,7,HOOD,6,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.9841,0.9967,0.4673,0.5000,0.7455,0.2545,0.3358,0.6630,1.0000,0.6246,0.3243,0.9103,0.9424,0.0000,0.1300,0.3214,0.4451,0.6822,0.3178,0.7494,0.2506,0.5237,0.4770,0.4646
2026-06-29,8,LMT,6,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.1755,0.2445,0.2326,0.0000,0.2327,0.7673,0.1157,0.4393,0.6066,0.4581,0.5850,0.1455,0.1603,0.0000,0.2085,0.5627,0.2670,0.1972,0.8028,0.1042,0.8958,0.9137,0.5678,0.4696
2026-06-29,9,MARA,6,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.5317,0.8917,0.9199,1.0000,0.5137,0.4863,0.1851,0.5179,1.0000,0.3633,0.2489,0.4778,0.2990,0.1932,0.3486,0.3357,0.2434,0.4771,0.5229,0.6104,0.3896,0.7636,0.3490,0.5212
2026-06-29,10,MCD,6,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.1429,0.1783,0.0977,0.0000,0.1235,0.8765,0.0952,0.3916,0.4434,0.4618,0.4462,0.1754,0.2176,0.0477,0.2835,0.3232,0.3009,0.1070,0.8930,0.0577,0.9423,0.7566,0.6326,0.4709
2026-06-29,11,META,6,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.1884,0.0880,0.0670,0.0000,0.3079,0.6921,0.1520,0.4251,0.6705,0.5888,0.4889,0.4576,0.0210,0.1285,0.1616,0.1617,0.3798,0.2206,0.7794,0.1488,0.8512,1.0000,0.4849,0.4727
2026-06-29,12,MSFT,6,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.0303,0.0475,0.0305,0.0000,0.2493,0.7507,0.2765,0.3147,0.7052,0.4530,0.5167,0.1949,0.0017,0.0000,0.6711,0.5516,0.4454,0.1654,0.8346,0.1654,0.8346,0.6710,0.6171,0.5662
2026-06-29,13,MSTR,6,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.1552,0.8448,0.5798,0.3012,1.0000,0.8824,0.0445,0.0018,0.0000,0.2277,0.5928,0.4292,0.6503,0.1508,0.8492,0.0944,0.9056,0.8362,0.4219,0.4587
2026-06-29,14,NFLX,6,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.0434,0.0168,0.0085,0.0000,0.2218,0.7782,0.2222,0.2712,0.6758,0.4984,0.5614,0.1149,0.0068,0.0288,0.1487,0.5458,0.4670,0.1784,0.8216,0.1047,0.8953,0.7136,0.3185,0.5388
2026-06-29,15,PLTR,6,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.0039,0.0114,0.0045,0.0000,0.2234,0.7766,0.4011,0.3034,1.0000,0.5969,0.3462,0.0831,0.0001,0.1080,0.3453,0.3743,0.2243,0.1627,0.8373,0.1627,0.8373,0.4711,0.5257,0.3710
2026-06-29,16,PYPL,6,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.8990,0.3687,0.0292,0.0000,0.8870,0.1130,0.1129,0.6625,0.5902,0.5081,0.7238,0.8476,0.4564,0.0000,0.1892,0.3533,0.3036,0.7419,0.2581,0.3504,0.6496,0.5855,0.4175,0.5293
2026-06-29,17,RIOT,6,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.7631,0.9914,1.0000,1.0000,0.6243,0.3757,0.1882,0.6089,1.0000,0.3872,0.3510,0.7448,0.6956,0.0886,0.4520,0.2236,0.1739,0.6138,0.3862,0.8288,0.1712,0.4090,0.3898,0.4953
2026-06-29,18,SNAP,6,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.0007,0.0021,0.0015,0.0000,0.1713,0.8287,0.4426,0.2469,1.0000,0.5091,0.2876,0.0181,0.0004,0.4458,0.1048,0.4677,0.2875,0.0781,0.9219,0.0719,0.9281,0.8479,0.3901,0.4727
2026-06-29,19,SPCX,6,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.4880,0.5698,0.8138,1.0000,0.4810,0.5190,0.0504,0.5199,0.3118,0.5469,0.4784,0.5075,0.3442,0.0000,0.2199,0.3023,0.2735,0.5289,0.4711,0.6858,0.3142,0.8645,0.4174,0.3280
2026-06-29,20,TSLA,6,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.8076,0.6201,0.4236,0.0000,0.6901,0.3099,0.1509,0.5098,0.9032,0.7948,0.5830,0.5824,0.1275,0.2858,0.2342,0.2189,0.2057,0.6652,0.3348,0.5350,0.4650,0.7292,0.5855,0.3258
2026-06-29,21,WPM,6,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.0318,0.0183,0.1129,0.5000,0.2047,0.7953,0.2314,0.4576,1.0000,0.4164,0.1452,0.2473,0.0033,0.0000,0.1985,0.3448,0.4084,0.1571,0.8429,0.0872,0.9128,0.5811,0.4893,0.7420
2026-06-29,22,SPY,6,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.4902,0.5759,0.8266,1.0000,0.4846,0.5154,0.0511,0.5191,0.3379,0.5655,0.4772,0.5098,0.3480,0.1503,0.1990,0.2789,0.4155,0.5833,0.4167,0.6991,0.3009,0.9232,0.4249,0.3146
2026-06-29,23,DIA,6,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.6938,0.7562,0.8481,1.0000,0.8754,0.1246,0.0436,0.6518,0.2635,0.5303,0.5444,0.6200,0.6994,0.4753,0.1467,0.2242,0.3410,0.8243,0.1757,0.8812,0.1188,0.7041,0.3828,0.3533
2026-06-29,24,GDX,6,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.0424,0.0220,0.0666,0.0000,0.2210,0.7790,0.2234,0.4569,1.0000,0.4319,0.1955,0.2044,0.0045,0.0706,0.1419,0.3176,0.4089,0.1253,0.8747,0.0713,0.9287,0.5636,0.4697,0.7498
2026-06-29,25,IWM,6,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.7830,0.8189,0.9574,1.0000,0.8256,0.1744,0.0788,0.7022,0.4187,0.4885,0.5132,0.6398,0.7530,0.0593,0.2662,0.2099,0.3305,0.8969,0.1031,0.9204,0.0796,0.5683,0.4323,0.4193
2026-06-29,26,QQQ,6,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.5101,0.7037,0.9496,1.0000,0.5096,0.4904,0.0846,0.5252,0.5404,0.5981,0.4071,0.5306,0.3460,0.1957,0.2645,0.1709,0.4192,0.6183,0.3817,0.7766,0.2234,1.0000,0.6075,0.3871
2026-06-29,27,URA,6,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.0538,0.0181,0.1019,0.5000,0.2593,0.7407,0.2381,0.4356,0.9364,0.5312,0.2268,0.2946,0.0089,0.3289,0.1376,0.0706,0.2495,0.1507,0.8493,0.1016,0.8984,0.6199,0.5534,0.6739
2026-06-29,28,URNM,6,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.0484,0.0180,0.0595,0.0000,0.2532,0.7468,0.2414,0.4195,0.9703,0.5060,0.2524,0.3398,0.0094,0.1393,0.2981,0.0889,0.1047,0.1289,0.8711,0.0874,0.9126,0.6411,0.5119,0.6624
