date,variety_id,variety_name,month,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,tech1,tech2,tech3,tech4,tech5,tech6,tech7,tech8,tech9,tech10,tech11,tech12,tech13,tech14,tech15,tech16,tech17,tech18,tech19,tech20,tech21,tech22,tech23,tech24
2026-01-05,0,NVDA,1,0.2240,0.5980,0.4200,0.5000,0.8500,0.7500,0.3200,0.6500,0.5800,0.6200,0.4200,0.6684,0.6500,0.5500,0.7929,0.5583,0.9675,0.5000,0.7196,0.2804,0.1223,0.6752,0.5201,0.4845,0.4371,0.8815,0.7119,0.3690,0.1514,0.1785,0.1269,0.7637,0.2363,0.4358,0.5642,0.3830,0.6077,0.5000
2026-01-05,1,AAPL,1,0.2380,0.5720,0.4200,0.5200,0.7800,0.6800,0.4200,0.5500,0.5800,0.5800,0.4410,0.4135,0.6800,0.5000,0.2218,0.3488,0.9545,1.0000,0.0000,1.0000,0.0445,0.2505,0.3149,0.4449,0.3896,0.3887,0.1577,0.3532,0.0629,0.2423,0.1947,0.0747,0.9253,0.3078,0.6922,0.2885,0.2880,0.5000
2026-01-05,2,AMZN,1,0.2380,0.5720,0.4200,0.5200,0.7800,0.6500,0.4800,0.5800,0.5800,0.5800,0.4410,0.6445,0.5800,0.5000,0.7228,0.5398,0.8114,0.5000,0.8077,0.1923,0.0623,0.6156,0.3704,0.6138,0.5116,0.6670,0.6464,0.2333,0.2295,0.2026,0.1568,0.8341,0.1659,0.4118,0.5882,0.3737,0.6442,0.5000
2026-01-05,3,COIN,1,0.2520,0.4940,0.4200,0.5200,0.6500,0.5500,0.4200,0.5500,0.5800,0.5800,0.5040,0.4019,0.4800,0.5500,0.6984,0.0813,0.1001,0.0000,0.5672,0.4328,0.2499,0.4318,0.8609,0.7763,0.8207,0.8379,0.0799,0.5317,0.3615,0.2206,0.1129,0.4969,0.5031,0.1993,0.8007,0.3610,0.6183,0.5000
2026-01-05,4,CRCL,1,0.2800,0.5200,0.4200,0.4800,0.4200,0.3500,0.5000,0.4000,0.5800,0.3800,0.4200,0.4961,0.4000,0.4200,0.7154,0.0974,0.1847,0.5000,0.6111,0.3889,0.1660,0.5165,1.0000,0.5634,0.7045,0.7642,0.2565,0.2935,0.1607,0.1005,0.0000,0.6076,0.3924,0.2409,0.7591,0.3784,0.5005,0.5000
2026-01-05,5,GME,1,0.2800,0.5200,0.4200,0.4800,0.2500,0.2800,0.3500,0.2500,0.5800,0.4000,0.4200,0.2189,0.3000,0.4200,0.0829,0.1799,0.0515,0.0000,0.2276,0.7724,0.1765,0.4552,0.6515,0.5194,0.4132,0.1152,0.0323,0.5929,0.3627,0.1622,0.2353,0.1820,0.8180,0.1714,0.8286,0.6844,0.4400,0.5000
2026-01-05,6,GOOGL,1,0.2380,0.5720,0.4200,0.5200,0.7500,0.6800,0.4500,0.5800,0.5800,0.5500,0.4410,0.7307,0.5500,0.5000,0.6765,0.8522,0.9999,1.0000,0.7047,0.2953,0.0721,0.6013,0.3801,0.5176,0.5482,0.7620,0.4760,0.2217,0.1850,0.1134,0.0727,0.7611,0.2389,0.8430,0.1570,0.2868,0.5239,0.5000
2026-01-05,7,HOOD,1,0.2520,0.4940,0.4200,0.5200,0.6000,0.5200,0.4500,0.5200,0.5800,0.5500,0.5040,0.5708,0.4500,0.5200,0.6378,0.3101,0.9945,0.5000,0.5484,0.4516,0.2339,0.5487,0.8448,0.7531,0.7037,0.7854,0.0284,0.2585,0.3557,0.0888,0.1102,0.4373,0.5627,0.4370,0.5630,0.3350,0.5679,0.5000
2026-01-05,8,LMT,1,0.2660,0.6240,0.4410,0.5000,0.6800,0.6000,0.5000,0.5200,0.5800,0.5200,0.4200,0.8782,0.5200,0.5500,0.9655,0.9333,0.9016,1.0000,1.0000,0.0000,0.1025,0.7014,0.3799,0.6146,0.7653,0.9005,0.9929,0.6303,0.2258,0.1567,0.2273,0.9380,0.0620,0.9452,0.0548,0.4707,0.6580,0.5000
2026-01-05,9,MARA,1,0.2520,0.4940,0.4200,0.5200,0.4200,0.3800,0.4800,0.5200,0.5800,0.5500,0.5040,0.3694,0.4000,0.5000,0.5865,0.0049,0.0024,0.0000,0.5185,0.4815,0.3780,0.4121,1.0000,0.7499,0.8895,0.9107,0.0055,0.1927,0.2733,0.1568,0.1560,0.4184,0.5816,0.1424,0.8576,0.4066,0.4752,0.5000
