date,variety_id,variety_name,month,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,tech1,tech2,tech3,tech4,tech5,tech6,tech7,tech8,tech9,tech10,tech11,tech12,tech13,tech14,tech15,tech16,tech17,tech18,tech19,tech20,tech21,tech22,tech23,tech24
2026-01-13,0,NVDA,1,0.2240,0.5980,0.4200,0.5000,0.8500,0.7500,0.3200,0.6500,0.5800,0.6200,0.4200,0.5829,0.6500,0.5500,0.5933,0.5091,0.9434,0.5000,0.5645,0.4355,0.1171,0.5459,0.5065,0.5188,0.4619,0.4207,0.8964,0.3303,0.2700,0.1946,0.1303,0.6647,0.3353,0.3893,0.6107,0.4452,0.5099,0.5000
2026-01-13,1,AAPL,1,0.2380,0.5720,0.4200,0.5200,0.7800,0.6800,0.4200,0.5500,0.5800,0.5800,0.4410,0.3447,0.6800,0.5000,0.1908,0.2265,0.9160,0.5000,0.1620,0.8380,0.0855,0.2561,0.2981,0.5123,0.4751,0.2385,0.1027,0.2552,0.3700,0.1974,0.2605,0.2188,0.7812,0.1625,0.8375,0.3469,0.2797,0.5000
2026-01-13,2,AMZN,1,0.2380,0.5720,0.4200,0.5200,0.7800,0.6500,0.4800,0.5800,0.5800,0.5800,0.4410,0.7089,0.5800,0.5000,0.8799,0.7498,0.9005,0.5000,0.7894,0.2106,0.1376,0.6931,0.4164,0.4375,0.5346,0.7566,0.9268,0.2849,0.2234,0.2722,0.1982,0.7732,0.2268,0.6315,0.3685,0.4188,0.4983,0.5000
2026-01-13,3,COIN,1,0.2520,0.4940,0.4200,0.5200,0.6500,0.5500,0.4200,0.5500,0.5800,0.5800,0.5040,0.4642,0.4800,0.5500,0.8803,0.1905,0.0797,0.0000,0.8277,0.1723,0.1218,0.5313,0.7845,0.6546,0.5424,0.8832,0.1264,0.5076,0.1812,0.2858,0.1447,0.6314,0.3686,0.2003,0.7997,0.3900,0.5149,0.5000
2026-01-13,4,CRCL,1,0.2800,0.5200,0.4200,0.4800,0.4200,0.3500,0.5000,0.4000,0.5800,0.3800,0.4200,0.5044,0.4000,0.4200,0.6902,0.3348,0.3876,0.5000,0.6273,0.3727,0.1259,0.4132,0.9469,0.5270,0.4188,0.7142,0.4990,0.3646,0.2069,0.0976,0.0030,0.5299,0.4701,0.2875,0.7125,0.3370,0.4754,0.5000
2026-01-13,5,GME,1,0.2800,0.5200,0.4200,0.4800,0.2500,0.2800,0.3500,0.2500,0.5800,0.4000,0.4200,0.3328,0.3000,0.4200,0.3094,0.3202,0.0702,0.0000,0.3892,0.6108,0.1449,0.4077,0.5430,0.5076,0.5863,0.6449,0.4143,0.3282,0.2670,0.2656,0.1567,0.3239,0.6761,0.2678,0.7322,0.4526,0.4048,0.5000
2026-01-13,6,GOOGL,1,0.2380,0.5720,0.4200,0.5200,0.7500,0.6800,0.4500,0.5800,0.5800,0.5500,0.4410,0.9172,0.5500,0.5000,0.9645,0.9490,1.0000,1.0000,1.0000,0.0000,0.1196,0.8855,0.3920,0.5494,0.7984,0.8565,0.9534,0.2440,0.3816,0.2469,0.0559,0.8981,0.1019,0.9354,0.0646,0.2777,0.4726,0.5000
2026-01-13,7,HOOD,1,0.2520,0.4940,0.4200,0.5200,0.6000,0.5200,0.4500,0.5200,0.5800,0.5500,0.5040,0.5780,0.4500,0.5200,0.7136,0.2980,0.9828,0.5000,0.6927,0.3073,0.0948,0.4675,0.7352,0.5915,0.4403,0.6453,0.5540,0.3352,0.1995,0.2290,0.0988,0.6879,0.3121,0.3750,0.6250,0.2546,0.5405,0.5000
2026-01-13,8,LMT,1,0.2660,0.6240,0.4410,0.5000,0.6800,0.6000,0.5000,0.5200,0.5800,0.5200,0.4200,0.9077,0.5200,0.5500,0.9975,0.9944,0.9836,1.0000,1.0000,0.0000,0.2074,0.7614,0.6085,0.5511,0.8005,0.9721,0.9966,0.0889,0.7927,0.6828,0.3967,0.9505,0.0495,0.9603,0.0397,0.7857,0.8941,0.5000
2026-01-13,9,MARA,1,0.2520,0.4940,0.4200,0.5200,0.4200,0.3800,0.4800,0.5200,0.5800,0.5500,0.5040,0.5053,0.4000,0.5000,0.9866,0.0930,0.0041,0.0000,0.9359,0.0641,0.1973,0.5865,1.0000,0.6108,0.7758,0.9791,0.1504,0.3100,0.2457,0.2231,0.1573,0.7812,0.2188,0.2053,0.7947,0.4553,0.4761,0.5000
2026-01-13,10,MCD,1,0.2800,0.5980,0.4200,0.5200,0.7000,0.6200,0.5200,0.4800,0.5800,0.5000,0.4200,0.5599,0.5500,0.4500,0.4712,0.5610,0.5977,1.0000,0.4681,0.5319,0.0723,0.4036,0.2675,0.5350,0.6084,0.5184,0.3091,0.2128,0.2987,0.2677,0.1989,0.4736,0.5264,0.5757,0.4243,0.3986,0.7015,0.5000
2026-01-13,11,META,1,0.2380,0.5720,0.4200,0.5200,0.7200,0.7000,0.4200,0.6000,0.5800,0.5500,0.4410,0.2863,0.5000,0.4800,0.1344,0.3950,0.2176,0.5000,0.0000,1.0000,0.0554,0.3337,0.3944,0.4326,0.2903,0.2597,0.3349,0.3593,0.3893,0.1329,0.1438,0.1413,0.8587,0.3881,0.6119,0.3452,0.3688,0.5000
2026-01-13,12,MSFT,1,0.2380,0.5720,0.4200,0.5200,0.8000,0.7200,0.4000,0.6200,0.5800,0.6000,0.4410,0.3221,0.6500,0.5200,0.2586,0.2559,0.4057,0.5000,0.0459,0.9541,0.0464,0.3409,0.2924,0.4456,0.4188,0.3008,0.3601,0.3568,0.3026,0.2324,0.1870,0.1987,0.8013,0.0911,0.9089,0.3095,0.5822,0.5000
2026-01-13,13,MSTR,1,0.2520,0.4940,0.4200,0.5200,0.5500,0.4200,0.3800,0.5800,0.5800,0.6200,0.5040,0.5340,0.4200,0.5500,0.9776,0.1096,0.0001,0.0000,1.0000,0.0000,0.1208,0.5633,1.0000,0.7429,0.8701,0.9444,0.3349,0.6045,0.4145,0.3816,0.1751,0.8688,0.1312,0.1836,0.8164,0.4184,0.5741,0.5000
2026-01-13,14,NFLX,1,0.2380,0.5720,0.4200,0.5200,0.7000,0.6500,0.4500,0.5500,0.5800,0.5500,0.4410,0.2068,0.5500,0.4800,0.2278,0.0399,0.0174,0.0000,0.1909,0.8091,0.0790,0.3249,0.3877,0.5406,0.4818,0.2656,0.1430,0.3730,0.3763,0.2759,0.1334,0.2220,0.7780,0.0704,0.9296,0.1854,0.4657,0.5000
2026-01-13,15,PLTR,1,0.2380,0.5720,0.4200,0.5200,0.6500,0.5500,0.3500,0.5800,0.5800,0.5500,0.4410,0.5137,0.5000,0.5200,0.2563,0.4715,0.9619,1.0000,0.3639,0.6361,0.1566,0.3440,0.7360,0.4900,0.4791,0.3299,0.2934,0.1472,0.2650,0.2482,0.1829,0.3876,0.6124,0.5237,0.4763,0.6192,0.6823,0.5000
2026-01-13,16,PYPL,1,0.3500,0.5720,0.4200,0.5600,0.5200,0.5000,0.5500,0.4500,0.5800,0.4800,0.4200,0.1376,0.5000,0.4800,0.0997,0.0795,0.0384,0.0000,0.0000,1.0000,0.0780,0.2911,0.4011,0.4492,0.2522,0.2260,0.0524,0.1495,0.3600,0.2175,0.2246,0.0435,0.9565,0.0205,0.9795,0.3136,0.3440,0.5000
2026-01-13,17,RIOT,1,0.2520,0.4940,0.4200,0.5200,0.4200,0.3800,0.4800,0.5200,0.5800,0.5500,0.5040,0.8229,0.4000,0.5000,0.9998,0.9641,0.9952,0.5000,1.0000,0.0000,0.3163,0.6783,0.9899,0.5724,0.9140,0.9988,0.9650,0.2234,0.3386,0.3858,0.1330,0.9538,0.0462,0.4776,0.5224,0.5704,0.4507,0.5000
